Catalog Number,Material,Material Description,Sales Unit,Delivery unit
43643,921266000,PD BELLUNO CHR BR CC96,PCE,30
44763,44763,V-Set Drilljig set Accura handle  500 mm,SET,1
44764,44764,Accura rail 500 mm,PCE,1
44765,44765,drilljig Accura handle,PCE,1
44767,44767,Drill plate for drilljig Accura handle,PCE,1
44777,919516801,DrillJig Quadro EB 20/Quadro 4D,PCE,1
44918,923561000,MT ORGATRAY 650 D433-483 W500-540 WHITE,PCE,1
44919,923560900,MT ORGATRAY 650 D433-483 W400-440 WHITE,PCE,1
44921,923559800,MT ORGATRAY 650 D433-483 W350-390 WHITE,PCE,1
44922,923559700,MT ORGATRAY 650 D433-483 W300-340 WHITE,PCE,1
44923,923559600,MT ORGATRAY 650 D433-483 W250-290 WHITE,PCE,1
44924,923559500,MT ORGATRAY 650 D433-483 W200-240 WHITE,PCE,1
44934,922610400,"SPICE RACK STAND. OT 420,430,440,480",PCE,1
45036,904326000,S_9930__B24_TH42                PU50  UG,PCE,50
45037,904326100,INTERMAT 9930 TH43 K-5,PCE,50
45039,904326200,S_9930__B24_TH44                PU50  UG,PCE,50
45046,916868603,SEL-PRO EX.S16/T16 LR32 MZ,PCE,50
45080,932549700,STB11 Set 2-Doors,PCE,1
45081,45081,STB 11 Set 3-Doors,SET,1
45150,45150,BlueJig hinge,PCE,1
45167,45167,"SOFIX-SCR. 3,5X12 PANH. CH",PCE,200
45168,45168,"SOFIX-SCR. 3,5X20 PANH. CH",EA,200
45169,911808500,SET SCR./SOCKET F. T43,SET,200
45198,918977500,Adjustment Fitting For STB,PCE,2
45315,45315,Set Vertico Mono,SET,1
45317,45317,SET TOP LINE 110,SET,1
45555,921718500,Innofit 100,PCE,1
46416,46416,RUNN. PROF. TOP LINE 25 L3500 +20 MM,PCE,1
46417,46417,RUNN. PROF. TOP LINE 27 L3500 MM,PCE,1
46629,930024100,Accura pin for hole line,PCE,1
46642,46642,SHELF SUPP.DUPLO 5 NICK.PL,PCE,500
46695,924642000,DOOR BUFFER SELF-ADH.,PCE,1000
46787,913603000,FOLD.DOOR H. T22 NICKEL-PL,PCE,10
46789,46789,Guiding Pr.STB35 3500 Wh,PCE,500
46942,46942,PROFIX C/BOARD SCREW 8X28MM(1000/CTN),PCE,1000
46943,46943,PROFIX C/BOARD SCREW 8X32MM(1000/CTN),PCE,1000
46944,46944,PROFIX C/BOARD SCREW 8X40MM(1000/CTN),PCE,1000
46945,46945,PROFIX C/BOARD SCREW 8X50MM (500/CTN),PCE,500
46946,46946,COVER CAP WHITE PROFIX/DIRECTA 3,PCE,1000
46953,46953,CHIPBOARD SCREW 8GX28MM  (1000/CTN),PCE,1000
